,hotel_id,price,stock,city,date,language,mobile,avatar_id,request_id,request_number
0,101,223,278,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
1,460,74,55,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
2,685,217,278,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
3,967,69,140,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
4,264,70,56,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
5,674,102,111,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
6,760,157,196,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
7,366,69,111,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
8,752,226,280,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
9,450,158,193,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
10,158,135,142,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
11,146,161,196,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
12,269,135,138,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
13,680,134,55,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
14,917,227,279,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
15,85,96,111,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
16,166,101,111,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
17,430,153,194,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
18,157,226,281,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
19,891,100,56,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
20,960,228,282,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
21,505,96,113,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
22,676,69,56,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
23,10,135,140,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
24,724,226,281,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
25,117,70,55,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
26,778,96,111,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
27,88,100,113,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
28,807,216,278,amsterdam,44,croatian,0,129299,amsterdamcroatian129299,1.0
